country,year,S_proxy,N_proxy,R_proxy,Crisis
AUS,1996,1.8005645275116,1.39611268043518,3.28,0.030769230769230504
AUS,1997,,,16.4,0.08875562218890555
AUS,1998,1.61811804771423,1.06650125980377,30.8,0.0569932685115931
AUS,1999,,,40.8,0.025843529847979496
AUS,2000,1.73217022418976,1.33396470546722,46.7561,0.12287175739861152
AUS,2001,,,52.6893,0.12035676810073448
AUS,2002,1.65919864177704,1.18941462039948,,0.04907872696817399
AUS,2003,1.77327883243561,0.878117203712463,,0.03662979830839299
AUS,2004,1.98494184017181,0.935463547706604,,0.017162761241291992
AUS,2005,1.74618124961853,0.8917076587677,63.0,0.03459158415841601
AUS,2006,1.70789933204651,0.934466600418091,66.0,0.07776438686351299
AUS,2007,1.81895518302917,0.928874909877777,69.45,0.0163805644457375
AUS,2008,1.78476786613464,0.954700112342834,71.67,0.11751492749502401
AUS,2009,1.70196378231049,0.855120599269867,74.25,0.011444141689373499
AUS,2010,1.76339137554169,0.888859868049622,76.0,0.04591700133868799
AUS,2011,1.69013810157776,0.935710072517395,79.4877,0.0651925078043705
AUS,2012,1.61314845085144,0.997997224330902,79.0,0.011860992193401998
AUS,2013,1.632453083992,1.03107297420502,83.4535,0.02249443207126951
AUS,2014,1.60089492797852,1.03219199180603,84.0,0.024396135265700503
AUS,2015,1.53325247764587,0.873180687427521,84.5605,0.024581663917039996
AUS,2016,1.53218841552734,1.0334244966507,86.54,0.03615045275133501
AUS,2017,1.49838602542877,0.87606406211853,86.545,0.002567629527739501
AUS,2018,1.55598998069763,0.971185445785522,90.0,0.004429952777153001
AUS,2019,1.53869080543518,0.917978942394257,93.6099,0.01946160635481
AUS,2020,1.57335329055786,0.862161874771118,94.6935,0.05765472312703586
AUS,2021,1.47172200679779,0.83507913351059,96.9722,0.043195521102498004
AUS,2022,1.52843272686005,0.983715951442719,97.0424,0.22970483567092298
AUS,2023,1.58987963199615,0.91705721616745,97.0631,0.1798507462686565
AUS,2024,,,,0.058080714152873504
BRA,1996,-0.143133714795113,-0.220460131764412,0.451,0.68788328001303
BRA,1997,,,0.786,0.24633562581457752
BRA,1998,-0.201571121811867,-0.339505791664124,1.48,0.05975381464002501
BRA,1999,,,2.04,0.14292237495133348
BRA,2000,0.0430850870907307,0.18410162627697,2.87069,0.252207052973633
BRA,2001,,,4.52849,0.242017951243762
BRA,2002,-0.0346153452992439,0.327800273895264,9.14943,0.32250821885416603
BRA,2003,0.0817573666572571,0.00421393429860473,13.2076,0.6357459861407351
BRA,2004,-0.0922709181904793,-0.275992810726166,19.0737,0.22985925499298152
BRA,2005,-0.157670244574547,-0.263379752635956,21.0227,0.2434768604494825
BRA,2006,-0.391295492649078,-0.294911116361618,28.1784,0.10917840644845449
