country,year,S_proxy,N_proxy,R_proxy,Crisis,_N_stability,N_noise,_S,_N_raw,_N,_R,E
AUS,1996,1.8005645275116,1.39611268043518,3.28,0.0307692307692305,1.0,0.0,0.9835461586146239,0.0,1e-09,0.2935525145843727,1.5
AUS,1997,,,16.4,0.0887556221889055,0.5,0.5,0.5,0.5,0.5,0.8747757737144718,0.8747757737144718
AUS,1998,1.61811804771423,1.06650125980377,30.8,0.0569932685115931,0.9252908341824929,0.07470916581750708,0.8898773437930262,0.07504378338375543,0.07504378338375543,1.0,1.5
AUS,1999,,,40.8,0.0258435298479794,0.5,0.5,0.5,0.5,0.5,1.0,1.0
AUS,2000,1.73217022418976,1.33396470546722,46.7561,0.1228717573986115,0.9863414986938125,0.01365850130618751,0.9585741800852704,0.0064437598739106195,0.0064437598739106195,0.9570309697632398,1.5
AUS,2001,,,52.6893,0.1203567681007344,0.5,0.5,0.5,0.5,0.5,0.9377798240949657,0.9377798240949657
AUS,2002,1.65919864177704,1.18941462039948,,0.0490787269681739,0.9939980076949873,0.006001992305012749,0.9248454760252369,0.0028714022694634983,0.0028714022694634983,,
AUS,2003,1.77327883243561,0.878117203712463,,0.0366297983083929,0.9323305215072158,0.06766947849278415,0.9682699814117401,0.0673712047356952,0.0673712047356952,,
AUS,2004,1.98494184017181,0.935463547706604,,0.0171627612412919,0.9823180856298901,0.017681914370109908,1.0,0.008239053345914535,0.008239053345914535,,
AUS,2005,1.74618124961853,0.8917076587677,63.0,0.034591584158416,0.9689020858006514,0.031097914199348597,0.9673801180041631,0.014687902350924705,0.014687902350924705,0.8818220273139087,1.5
AUS,2006,1.70789933204651,0.934466600418091,66.0,0.0777643868635129,0.9286582873813972,0.07134171261860278,0.9626088486215525,0.06082288631542674,0.06082288631542674,0.9061979930500915,1.5
AUS,2007,1.81895518302917,0.928874909877777,69.45,0.0163805644457375,0.9602312727013836,0.03976872729861636,1.0,0.040838138500177035,0.040838138500177035,0.9176946562738593,1.5
AUS,2008,1.78476786613464,0.954700112342834,71.67,0.117514927495024,0.9795319157500841,0.020468084249915863,1.0,0.0097776076556435,0.0097776076556435,0.9091004359490276,1.5
AUS,2009,1.70196378231049,0.855120599269867,74.25,0.0114441416893734,0.9136021532840731,0.08639784671592687,0.9910933051787008,0.07381376427458129,0.07381376427458129,0.8983681029704041,1.5
